year,imm
2005,92
2005,93
2005,96
2005,99
2005,62
2005,68
2005,96
2005,92
2005,95
2005,99
2005,53
2005,76
2005,95
2005,73
2005,85
2005,67
2006,97
2006,94
2006,99
2006,93
2006,89
2006,96
2006,69
2006,79
2006,88
2006,97
2006,99
2006,96
2006,96
2006,99
2006,95
2006,97
2006,87
2006,98
2006,85
2006,92
2006,53
2006,95
2006,91
2006,91
2006,30
2006,99
2006,92
2006,80
2006,69
2006,88
2006,99
2006,83
2006,92
2006,97
2006,92
2006,99
2006,66
2006,90
2006,88
2006,85
2006,94
2006,97
2006,96
2006,88
2006,92
2006,94
2006,78
2006,73
2006,93
2006,61
2006,39
2006,91
2006,95
2006,66
2006,63
2006,61
2006,90
2006,73
2006,95
2006,96
2006,87
2006,97
2006,90
2006,67
2006,97
2006,81
2006,97
2006,98
2006,98
2006,51
2006,95
2006,96
2006,93
2006,44
2006,92
2006,97
2006,55
2006,89
2006,96
2006,85
2006,98
2006,98
2006,95
2006,51
2006,74
2006,90
2006,59
2006,95
2006,99
2006,95
2006,99
2006,62
2006,86
2006,96
2006,87
2006,99
2006,99
2006,77
2006,61
2006,96
2006,99
2006,97
2006,48
2006,98
2006,69
2006,82
2006,63
2006,98
2006,97
2006,95
2006,71
2006,85
2006,95
2006,97
2006,68
2006,94
2006,96
2006,62
2006,99
2006,83
2006,96
2006,94
2006,99
2006,90
2006,95
2006,76
2006,78
2006,63
2006,99
2006,85
2006,82
2006,99
2006,53
2006,44
2006,94
2006,92
2006,96
2006,59
2006,98
2006,95
2006,84
2006,91
2006,93
2006,92
2006,99
2006,97
2006,99
2006,95
2006,95
2006,54
2006,90
2006,85
2006,80
2006,88
2006,99
2006,65
2006,95
2006,98
2006,96
2006,99
2006,35
2006,65
2006,99
2006,99
2006,94
2006,99
2006,73
2006,83
2006,97
2006,81
2006,82
2006,93
2006,96
2006,61
2006,78
2006,90
2006,89
2006,98
2006,99
2006,84
2006,75
2006,98
2006,92
2006,94
2006,98
2006,52
2006,82
2006,93
2006,65
2006,85
2006,68
2007,94
2007,94
2007,99
2007,94
2007,90
2007,97
2007,70
2007,76
2007,90
2007,96
2007,92
2007,96
2007,96
2007,99
2007,96
2007,97
2007,87
2007,96
2007,86
2007,92
2007,55
2007,97
2007,92
2007,94
2007,68
2007,99
2007,92
2007,79
2007,75
2007,96
2007,99
2007,89
2007,75
2007,99
2007,92
2007,96
2007,70
2007,95
2007,86
2007,96
2007,95
2007,97
2007,96
2007,94
2007,88
2007,95
2007,79
2007,74
2007,94
2007,59
2007,31
2007,92
2007,93
2007,65
2007,68
2007,59
2007,90
2007,67
2007,96
2007,97
2007,87
2007,98
2007,89
2007,74
2007,96
2007,82
2007,98
2007,97
2007,99
2007,51
2007,96
2007,96
2007,94
2007,49
2007,94
2007,98
2007,62
2007,88
2007,97
2007,95
2007,99
2007,98
2007,86
2007,57
2007,73
2007,96
2007,60
2007,94
2007,99
2007,95
2007,97
2007,64
2007,87
2007,97
2007,76
2007,95
2007,99
2007,80
2007,93
2007,99
2007,99
2007,99
2007,40
2007,95
2007,74
2007,81
2007,71
2007,98
2007,97
2007,96
2007,81
2007,83
2007,95
2007,97
2007,66
2007,79
2007,94
2007,67
2007,98
2007,92
2007,96
2007,94
2007,98
2007,90
2007,95
2007,75
2007,81
2007,69
2007,99
2007,81
2007,79
2007,99
2007,60
2007,41
2007,96
2007,92
2007,97
2007,57
2007,91
2007,95
2007,77
2007,91
2007,92
2007,92
2007,98
2007,95
2007,92
2007,97
2007,94
2007,63
2007,90
2007,86
2007,84
2007,95
2007,99
2007,60
2007,95
2007,99
2007,96
2007,90
2007,35
2007,63
2007,98
2007,99
2007,94
2007,99
2007,79
2007,85
2007,96
2007,81
2007,85
2007,90
2007,96
2007,63
2007,71
2007,90
2007,91
2007,98
2007,99
2007,95
2007,75
2007,97
2007,92
2007,96
2007,98
2007,56
2007,87
2007,83
2007,71
2007,93
2007,69
2008,96
2008,94
2008,99
2008,97
2008,89
2008,97
2008,72
2008,76
2008,90
2008,95
2008,92
2008,96
2008,96
2008,99
2008,97
2008,98
2008,92
2008,97
2008,86
2008,92
2008,59
2008,98
2008,88
2008,98
2008,57
2008,99
2008,94
2008,83
2008,79
2008,90
2008,99
2008,92
2008,94
2008,99
2008,93
2008,96
2008,66
2008,99
2008,92
2008,84
2008,95
2008,99
2008,96
2008,94
2008,84
2008,96
2008,89
2008,80
2008,93
2008,58
2008,27
2008,96
2008,95
2008,76
2008,64
2008,69
2008,89
2008,63
2008,98
2008,98
2008,87
2008,97
2008,87
2008,73
2008,99
2008,83
2008,98
2008,92
2008,95
2008,51
2008,96
2008,95
2008,94
2008,54
2008,94
2008,97
2008,67
2008,92
2008,97
2008,86
2008,99
2008,99
2008,96
2008,55
2008,71
2008,95
2008,62
2008,93
2008,99
2008,96
2008,98
2008,76
2008,89
2008,98
2008,88
2008,95
2008,99
2008,90
2008,72
2008,98
2008,99
2008,99
2008,52
2008,96
2008,79
2008,80
2008,76
2008,98
2008,97
2008,96
2008,70
2008,88
2008,95
2008,97
2008,71
2008,78
2008,86
2008,65
2008,98
2008,86
2008,95
2008,93
2008,97
2008,89
2008,96
2008,77
2008,82
2008,73
2008,99
2008,79
2008,86
2008,99
2008,66
2008,53
2008,98
2008,93
2008,98
2008,56
2008,97
2008,96
2008,73
2008,91
2008,92
2008,92
2008,98
2008,97
2008,96
2008,96
2008,92
2008,44
2008,86
2008,93
2008,77
2008,92
2008,99
2008,73
2008,95
2008,99
2008,96
2008,71
2008,34
2008,67
2008,98
2008,99
2008,99
2008,99
2008,79
2008,86
2008,96
2008,81
2008,86
2008,88
2008,98
2008,73
2008,63
2008,89
2008,91
2008,98
2008,99
2008,93
2008,70
2008,94
2008,92
2008,95
2008,98
2008,61
2008,93
2008,92
2008,69
2008,87
2008,70
2009,96
2009,94
2009,99
2009,99
2009,89
2009,97
2009,78
2009,74
2009,90
2009,94
2009,93
2009,96
2009,96
2009,98
2009,98
2009,98
2009,92
2009,97
2009,86
2009,90
2009,60
2009,97
2009,92
2009,98
2009,53
2009,99
2009,96
2009,76
2009,85
2009,98
2009,99
2009,93
2009,94
2009,99
2009,95
2009,97
2009,71
2009,94
2009,93
2009,93
2009,96
2009,99
2009,96
2009,94
2009,91
2009,97
2009,92
2009,74
2009,91
2009,56
2009,36
2009,93
2009,89
2009,79
2009,72
2009,63
2009,81
2009,67
2009,95
2009,99
2009,87
2009,98
2009,84
2009,84
2009,99
2009,84
2009,97
2009,95
2009,91
2009,51
2009,97
2009,95
2009,94
2009,59
2009,94
2009,98
2009,63
2009,96
2009,83
2009,93
2009,99
2009,98
2009,92
2009,53
2009,69
2009,97
2009,63
2009,97
2009,99
2009,92
2009,99
2009,81
2009,90
2009,97
2009,88
2009,95
2009,99
2009,88
2009,82
2009,98
2009,99
2009,99
2009,59
2009,92
2009,79
2009,84
2009,83
2009,98
2009,96
2009,96
2009,63
2009,92
2009,95
2009,98
2009,73
2009,82
2009,78
2009,59
2009,99
2009,86
2009,90
2009,92
2009,94
2009,86
2009,98
2009,80
2009,87
2009,76
2009,99
2009,90
2009,89
2009,99
2009,69
2009,64
2009,96
2009,93
2009,99
2009,56
2009,75
2009,96
2009,74
2009,91
2009,91
2009,88
2009,98
2009,95
2009,99
2009,96
2009,95
2009,45
2009,88
2009,90
2009,79
2009,95
2009,97
2009,80
2009,95
2009,99
2009,95
2009,69
2009,43
2009,70
2009,97
2009,99
2009,99
2009,99
2009,82
2009,88
2009,97
2009,82
2009,89
2009,91
2009,98
2009,70
2009,66
2009,87
2009,94
2009,98
2009,99
2009,90
2009,77
2009,75
2009,93
2009,94
2009,95
2009,65
2009,87
2009,97
2009,65
2009,90
2009,76
2010,95
2010,94
2010,99
2010,99
2010,89
2010,97
2010,82
2010,78
2010,91
2010,94
2010,98
2010,95
2010,96
2010,98
2010,98
2010,95
2010,92
2010,97
2010,89
2010,92
2010,62
